doi,title,model
10.5065/d6rr1w7m,technical description of version 4.5 of the community land model (clm),clm4.5
10.5194/hess-12-1007-2008,an integrated model for the assessment of global water resources – part 1: model description and input meteorological forcing,h08
10.5194/hess-12-1027-2008,an integrated model for the assessment of global water resources – part 2: applications and assessments,h08
10.1016/j.jhydrol.2009.09.028,an estimation of global virtual water flow and sources of water withdrawal for major crops and livestock products using a global hydrological model,h08
10.5194/hess-17-2375-2013,a global water scarcity assessment under shared socio-economic pathways–part 1: water use,h08
10.5194/hess-17-2393-2013,a global water scarcity assessment under shared socio-economic pathways – part 2: water availability and scarcity,h08
10.5194/hess-18-4289-2014,an assessment of global net irrigation water requirements from various water supply sources to sustain irrigation: rivers and reservoirs (1960–2050),h08
10.1111/j.1365-2486.2006.01305.x,modelling the role of agriculture for the 20th century global terrestrial carbon balance,lpjml
10.1029/2006gb002742,comparative impact of climatic and nonclimatic factors on global terrestrial carbon and water cycles,lpjml
10.1029/2006jg000388,"effects of changes in co2, climate, and land use on the carbon balance of the land biosphere during the 21st century",lpjml
10.1029/2008gl035258,causes of change in 20th century global river discharge,lpjml
10.1029/2007wr006331,agricultural green and blue water consumption and its influence on the global water system,lpjml
10.1029/2007wr006767,future water availability for global food production: the potential of green water for increasing resilience to global change,lpjml
10.1029/2009wr008929,impact of reservoirs on river discharge and irrigation water supply during the 20th century,lpjml
10.5194/hessd-12-3593-2015,water savings potentials of irrigation systems: dynamic global simulation,lpjml
10.5194/gmd-11-1343-2018,lpjml4 – a dynamic global vegetation model with managed land – part 1: model description,lpjml
10.1175/jhm-d-11-013.1,incorporating anthropogenic water regulation modules into a land surface model,matsiro
10.1002/2014wr015602,incorporation of groundwater pumping in a global land surface model with the representation of human impacts,matsiro
10.1007/s003820050205,a parametrization of the lateral waterflow for the global scale,mpi-hm
10.1175/2011jhm1336.1,impact of a statistical bias correction on the projected hydrological changes obtained from three gcms and two hydrology models,mpi-hm
10.5194/hess-16-2915-2012,development and evaluation of a global dynamical wetlands extent scheme,mpi-hm
,"the global hydrological model pcr-globwb: conceptualization, parameterization and verification",pcr-globwb
,forcing pcr-globwb with cru data,pcr-globwb
10.1029/2010wr009791,global monthly water stress: 1. water balance and water availability,pcr-globwb
10.1029/2010wr009792,global monthly water stress: 2. water demand and severity of water stress,pcr-globwb
10.5194/hess-15-3785-2011,modelling global water stress of the recent past: on the relative importance of trends in water demand and climate variability,pcr-globwb
10.1029/2011wr010562,nonsustainable groundwater sustaining irrigation: a global assessment,pcr-globwb
10.1016/j.advwatres.2013.12.002,dynamic attribution of global water demand to surface water and groundwater resources: effects of abstractions and return flows on river discharges,pcr-globwb
10.5194/esd-5-15-2014,"global modeling of withdrawal, allocation and consumptive use of surface water and groundwater resources",pcr-globwb
10.1002/2015ms000618,high-resolution modeling of human and climate impacts on global water resources,pcr-globwb
10.5194/hess-21-5603-2017,hydrological impacts of global land cover change and human water use,pcr-globwb
10.5194/gmd-11-2429-2018,pcr-globwb 2: a 5 arcmin global hydrological and water resources model,pcr-globwb
10.1029/91jd01786,a land-surface hydrology parameterization with subgrid variability for general circulation models,vic
10.1029/94jd00483,a simple hydrologically based model of land surface water and energy fluxes for general circulation models,vic
10.1029/2006gl026047,anthropogenic impacts on continental surface water fluxes,vic
10.1016/j.jhydrol.2005.09.028,effects of irrigation on the water and energy balances of the colorado and mekong river basins,vic
,water budget record from variable infiltration capacity (vic) model,vic
10.5194/gmd-13-5029-2020,simulating human impacts on global water resources using vic-5,vic
,global change and global scenarios of water use and availability: an application of watergap1.0,watergap
,the global integrated water model watergap 2.1,watergap
10.1007/pl00012591,critical regions: a model-based estimation of world water resources sensitive to global changes,watergap
10.1029/2001wr000355,global modeling of irrigation water requirements,watergap
10.1623/hysj.48.3.317.45290,development and testing of the watergap 2 global model of water use and availability,watergap
10.1623/hysj.48.3.339.45278,global estimates of water withdrawals and availability under current and future “business-as-usual” conditions,watergap
,global irrigation in the 20th century: extension of the watergap global irrigation model (gim) with the spatially explicit historical irrigation data set (hid),watergap
10.5194/gmd-14-1037-2021,the global water resources and use model watergap v2.2d: model description and evaluation,watergap
10.1029/2008gl035296,global irrigation water demand: variability and uncertainties arising from agricultural and climate data sets,wbmplus
10.1029/2009gb003593,millennium ecosystem assessment scenario drivers (1970–2050): climate and hydrological alterations,wbmplus
10.5194/hess-14-1-2010,reconstructing 20th century global hydrography: a contribution to the global terrestrial network- hydrology (gtn-h),wbmplus
10.1016/j.jhydrol.2009.07.032,the significance of local water resources captured in small reservoirs for crop production – a global-scale analysis,wbmplus
10.5194/gmd-15-7287-2022,water balance model (wbm) v.1.0.0: a scalable gridded global hydrologic model with water-tracking functionality,wbmplus